batting,out,runs,balls,mins,fours,sixs,SR,counter
Devon Conway,b Mohammed Shami,1,6,0,0,0,16.66,1
Ruturaj Gaikwad,c Shubman Gill b Joseph,92,50,0,4,9,184.00,1
Moeen Ali,c †Saha b Rashid Khan,23,17,0,4,1,135.29,1
Ben Stokes,c †Saha b Rashid Khan,7,6,0,1,0,116.66,1
Ambati Rayudu,b Little,12,12,0,0,1,100.00,1
Shivam Dube,c Rashid Khan b Mohammed Shami,19,18,0,0,1,105.55,1
Ravindra Jadeja,c Shankar b Joseph,1,2,0,0,0,50.00,1
MS Dhoni (c)†,not out,14,7,0,1,1,200.00,1
Mitchell Santner,not out,1,3,0,0,0,33.33,1
Prabhsimran Singh,c †Rahmanullah Gurbaz b Southee,23,12,10,2,2,191.66,2
Shikhar Dhawan (c),b Varun,40,29,75,6,0,137.93,2
Bhanuka Rajapaksa,c Singh b Yadav,50,32,47,5,2,156.25,2
Jitesh Sharma †,c Yadav b Southee,21,11,13,1,2,190.90,2
Sikandar Raza,c Rana b Narine,16,13,22,1,1,123.07,2
Sam Curran,not out,26,17,27,0,2,152.94,2
M Shahrukh Khan,not out,11,7,11,2,0,157.14,2
KL Rahul (c),c Patel b Sakariya,8,12,21,0,1,66.66,3
Kyle Mayers,b Patel,73,38,53,2,7,192.10,3
Deepak Hooda,c Warner b Kuldeep Yadav,17,18,31,0,0,94.44,3
Krunal Pandya,not out,15,13,51,0,1,115.38,3
Marcus Stoinis,c †Khan b Ahmed,12,10,13,0,1,120.00,3
Nicholas Pooran †,c Shaw b Ahmed,36,21,24,2,3,171.42,3
Ayush Badoni,c †Khan b Sakariya,18,7,10,1,2,257.14,3
Krishnappa Gowtham,not out,6,1,2,0,1,600.00,3
Yashasvi Jaiswal,c Agarwal b Fazalhaq Farooqi,54,37,63,9,0,145.94,4
Jos Buttler,b Fazalhaq Farooqi,54,22,32,7,3,245.45,4
Sanju Samson (c)†,c Abhishek Sharma b Natarajan,55,32,66,3,4,171.87,4
Devdutt Padikkal,b Umran Malik,2,5,10,0,0,40.00,4
Riyan Parag,c Fazalhaq Farooqi b Natarajan,7,6,12,1,0,116.66,4
Shimron Hetmyer,not out,22,16,21,1,1,137.50,4
Ravichandran Ashwin,not out,1,2,9,0,0,50.00,4
Rohit Sharma (c),c †Karthik b Akash Deep,1,10,30,0,0,10.00,5
Ishan Kishan †,c Patel b Mohammed Siraj,10,13,13,2,0,76.92,5
Cameron Green,b Topley,5,4,6,1,0,125.00,5
Suryakumar Yadav,c Shahbaz Ahmed b Bracewell,15,16,35,1,0,93.75,5
Tilak Varma,not out,84,46,85,9,4,182.60,5
Nehal Wadhera,c Kohli b Sharma,21,13,25,1,2,161.53,5
Tim David,b Sharma,4,7,11,0,0,57.14,5
Hrithik Shokeen,c du Plessis b Patel,5,3,12,1,0,166.66,5
Arshad Khan,not out,15,9,19,0,1,166.66,5
Ruturaj Gaikwad,c Wood b Ravi Bishnoi,57,31,55,3,4,183.87,6
Devon Conway,c Pandya b Wood,47,29,62,5,2,162.06,6
Shivam Dube,c Wood b Ravi Bishnoi,27,16,22,1,3,168.75,6
Moeen Ali,st †Pooran b Ravi Bishnoi,19,13,25,3,0,146.15,6
Ben Stokes,c Yash Thakur b Avesh Khan,8,8,16,1,0,100.00,6
Ambati Rayudu,not out,27,14,26,2,2,192.85,6
Ravindra Jadeja,c Ravi Bishnoi b Wood,3,6,13,0,0,50.00,6
MS Dhoni (c)†,c Ravi Bishnoi b Wood,12,3,6,0,2,400.00,6
Mitchell Santner,not out,1,1,2,0,0,100.00,6
David Warner (c),b Joseph,37,32,48,7,0,115.62,7
Prithvi Shaw,c Joseph b Mohammed Shami,7,5,17,1,0,140.00,7
Mitchell Marsh,b Mohammed Shami,4,4,10,1,0,100.00,7
Sarfaraz Khan,c Little b Rashid Khan,30,34,66,2,0,88.23,7
Rilee Rossouw,c Tewatia b Joseph,0,1,4,0,0,0.00,7
Abishek Porel †,b Rashid Khan,20,11,25,0,2,181.81,7
Axar Patel,c Miller b Mohammed Shami,36,22,33,2,3,163.63,7
Aman Hakim Khan,c Pandya b Rashid Khan,8,8,10,0,1,100.00,7
Kuldeep Yadav,not out,1,1,7,0,0,100.00,7
Anrich Nortje,not out,4,2,1,1,0,200.00,7
Prabhsimran Singh,c Buttler b Holder,60,34,49,7,3,176.47,8
Shikhar Dhawan (c),not out,86,56,113,9,3,153.57,8
Bhanuka Rajapaksa,retired hurt,1,1,3,0,0,100.00,8
Jitesh Sharma †,c Parag b Chahal,27,16,31,2,1,168.75,8
Sikandar Raza,b Ashwin,1,2,2,0,0,50.00,8
M Shahrukh Khan,c Buttler b Holder,11,10,23,1,0,110.00,8
Sam Curran,not out,1,2,3,0,0,50.00,8
Rahmanullah Gurbaz †,c Akash Deep b Sharma,57,44,58,6,3,129.54,9
Venkatesh Iyer,b Willey,3,7,18,0,0,42.85,9
Mandeep Singh,b Willey,0,1,2,0,0,0.00,9
Nitish Rana (c),c †Karthik b Bracewell,1,5,17,0,0,20.00,9
Rinku Singh,c †Karthik b Patel,46,33,64,2,3,139.39,9
Andre Russell,c Kohli b Sharma,0,1,2,0,0,0.00,9
Shardul Thakur,c Maxwell b Mohammed Siraj,68,29,45,9,3,234.48,9
Sunil Narine,not out,0,1,6,0,0,0.00,9
Umesh Yadav,not out,6,2,2,1,0,300.00,9
Anmolpreet Singh †,lbw b Pandya,31,26,38,3,1,119.23,10
Mayank Agarwal,c Stoinis b Pandya,8,7,14,1,0,114.28,10
Rahul Tripathi,c Mishra b Yash Thakur,34,41,65,4,0,82.92,10
Aiden Markram (c),b Pandya,0,1,2,0,0,0.00,10
Harry Brook,st †Pooran b Ravi Bishnoi,3,4,5,0,0,75.00,10
Washington Sundar,c Hooda b Mishra,16,28,40,0,0,57.14,10
Abdul Samad,not out,21,10,11,1,2,210.00,10
Adil Rashid,c Hooda b Mishra,4,3,3,1,0,133.33,10
Umran Malik,run out (Hooda/Unadkat),0,0,1,0,0,0,10
Bhuvneshwar Kumar,not out,0,0,4,0,0,0,10
Yashasvi Jaiswal,c & b Mukesh Kumar,60,31,47,11,1,193.54,11
Jos Buttler,c & b Mukesh Kumar,79,51,94,11,1,154.90,11
Sanju Samson (c)†,c Nortje b Kuldeep Yadav,0,4,7,0,0,0.00,11
Riyan Parag,b Powell,7,11,16,0,0,63.63,11
Shimron Hetmyer,not out,39,21,32,1,4,185.71,11
Dhruv Jurel,not out,8,3,7,0,1,266.66,11
Rohit Sharma (c),b Deshpande,21,13,22,3,1,161.53,12
Ishan Kishan †,c Pretorius b Jadeja,32,21,36,5,0,152.38,12
Cameron Green,c & b Jadeja,12,11,23,1,0,109.09,12
Suryakumar Yadav,c †Dhoni b Santner,1,2,6,0,0,50.00,12
Tilak Varma,lbw b Jadeja,22,18,26,2,1,122.22,12
Arshad Khan,lbw b Santner,2,4,4,0,0,50.00,12
Tim David,c Rahane b Deshpande,31,22,35,1,2,140.90,12
Tristan Stubbs,c Gaikwad b Magala,5,10,13,0,0,50.00,12
Hrithik Shokeen,not out,18,13,20,3,0,138.46,12
Piyush Chawla,not out,5,6,15,0,0,83.33,12
Wriddhiman Saha †,c Jagadeesan b Narine,17,17,24,3,0,100.00,13
Shubman Gill,c Yadav b Narine,39,31,55,5,0,125.80,13
Sai Sudharsan,c sub (AS Roy) b Narine,53,38,64,3,2,139.47,13
Abhinav Manohar,b Suyash Sharma,14,8,13,3,0,175.00,13
Vijay Shankar,not out,63,24,33,4,5,262.50,13
David Miller,not out,2,3,13,0,0,66.66,13
Prabhsimran Singh,lbw b Kumar,0,1,2,0,0,0.00,14
Shikhar Dhawan (c),not out,99,66,105,12,5,150.00,14
Matthew Short,lbw b Jansen,1,3,9,0,0,33.33,14
Jitesh Sharma †,c Markram b Jansen,4,9,13,1,0,44.44,14
Sam Curran,c Kumar b Markande,22,15,25,3,1,146.66,14
Sikandar Raza,c Agarwal b Umran Malik,5,6,5,0,0,83.33,14
M Shahrukh Khan,lbw b Markande,4,3,7,1,0,133.33,14
Harpreet Brar,b Umran Malik,1,2,5,0,0,50.00,14
Rahul Chahar,lbw b Markande,0,8,10,0,0,0.00,14
Nathan Ellis,b Markande,0,5,10,0,0,0.00,14
Mohit Rathee,not out,1,2,25,0,0,50.00,14
Virat Kohli,c Stoinis b Mishra,61,44,50,4,4,138.63,15
Faf du Plessis (c),not out,79,46,104,5,5,171.73,15
Glenn Maxwell,b Wood,59,29,54,3,6,203.44,15
Dinesh Karthik †,not out,1,1,2,0,0,100.00,15
David Warner (c),c Meredith b Behrendorff,51,47,94,6,0,108.51,16
Prithvi Shaw,c Green b Shokeen,15,10,17,3,0,150.00,16
Manish Pandey,c Behrendorff b Chawla,26,18,24,5,0,144.44,16
Yash Dhull,c Wadhera b Meredith,2,4,7,0,0,50.00,16
Rovman Powell,lbw b Chawla,4,4,6,1,0,100.00,16
Lalit Yadav,b Chawla,2,4,10,0,0,50.00,16
Axar Patel,c Arshad Khan b Behrendorff,54,25,29,4,5,216.00,16
Abishek Porel †,c Green b Behrendorff,1,3,8,0,0,33.33,16
Kuldeep Yadav,run out (Wadhera),0,1,2,0,0,0.00,16
Anrich Nortje,b Meredith,5,3,7,1,0,166.66,16
Mustafizur Rahman,not out,1,1,5,0,0,100.00,16
Yashasvi Jaiswal,c Dube b Deshpande,10,8,9,2,0,125.00,17
Jos Buttler,b Ali,52,36,79,1,3,144.44,17
Devdutt Padikkal,c Conway b Jadeja,38,26,33,5,0,146.15,17
Sanju Samson (c)†,b Jadeja,0,2,2,0,0,0.00,17
Ravichandran Ashwin,c Magala b Akash Singh,30,22,29,1,2,136.36,17
Shimron Hetmyer,not out,30,18,28,2,2,166.66,17
Dhruv Jurel,c Dube b Akash Singh,4,6,15,0,0,66.66,17
Jason Holder,c Conway b Deshpande,0,1,6,0,0,0.00,17
Adam Zampa,run out (Theekshana/†Dhoni),1,1,2,0,0,100.00,17
Prabhsimran Singh,c Rashid Khan b Mohammed Shami,0,2,3,0,0,0.00,18
Shikhar Dhawan (c),c Joseph b Little,8,8,20,2,0,100.00,18
Matthew Short,b Rashid Khan,36,24,38,6,1,150.00,18
Bhanuka Rajapaksa,c Shubman Gill b Joseph,20,26,73,1,0,76.92,18
Jitesh Sharma †,c †Saha b Sharma,25,23,29,5,0,108.69,18
Sam Curran,c Shubman Gill b Sharma,22,22,33,1,1,100.00,18
M Shahrukh Khan,run out (Miller/†Saha),22,9,19,1,2,244.44,18
Harpreet Brar,not out,8,5,12,0,1,160.00,18
Rishi Dhawan,run out (†Saha),1,1,4,0,0,100.00,18
Harry Brook,not out,100,55,99,12,3,181.81,19
Mayank Agarwal,c Varun b Russell,9,13,22,0,0,69.23,19
Rahul Tripathi,c †Rahmanullah Gurbaz b Russell,9,4,6,2,0,225.00,19
Aiden Markram (c),c Russell b Varun,50,26,32,2,5,192.30,19
Abhishek Sharma,c Thakur b Russell,32,17,28,3,2,188.23,19
Heinrich Klaasen †,not out,16,6,13,2,1,266.66,19
Virat Kohli,c Dhull b Lalit Yadav,50,34,46,6,1,147.05,20
Faf du Plessis (c),c Aman Hakim Khan b Marsh,22,16,21,3,1,137.50,20
Mahipal Lomror,c †Abishek Porel b Marsh,26,18,38,0,2,144.44,20
Glenn Maxwell,c Warner b Kuldeep Yadav,24,14,25,0,3,171.42,20
Harshal Patel,c †Abishek Porel b Patel,6,4,9,0,1,150.00,20
Shahbaz Ahmed,not out,20,12,31,3,0,166.66,20
Dinesh Karthik †,c Lalit Yadav b Kuldeep Yadav,0,1,2,0,0,0.00,20
Anuj Rawat,not out,15,22,26,1,0,68.18,20
KL Rahul (c),c sub (NT Ellis) b Arshdeep Singh,74,56,101,8,1,132.14,21
Kyle Mayers,c Harpreet Singh b Harpreet Brar,29,23,34,1,3,126.08,21
Deepak Hooda,lbw b Sikandar Raza,2,3,7,0,0,66.66,21
Krunal Pandya,c Shahrukh Khan b Rabada,18,17,30,2,0,105.88,21
Nicholas Pooran †,c Shahrukh Khan b Rabada,0,1,5,0,0,0.00,21
Marcus Stoinis,c †Sharma b Curran,15,11,22,0,2,136.36,21
Ayush Badoni,not out,5,6,17,0,0,83.33,21
Krishnappa Gowtham,c Sikandar Raza b Curran,1,2,7,0,0,50.00,21
Yudhvir Singh,c Shahrukh Khan b Curran,0,1,3,0,0,0.00,21
Ravi Bishnoi,not out,3,1,3,0,0,300.00,21
Rahmanullah Gurbaz †,c Jansen b Chawla,8,12,39,0,0,66.66,22
Narayan Jagadeesan,c Shokeen b Green,0,5,12,0,0,0.00,22
Venkatesh Iyer,c Jansen b Meredith,104,51,82,6,9,203.92,22
Nitish Rana (c),c sub (Ramandeep Singh) b Shokeen,5,10,13,0,0,50.00,22
Shardul Thakur,c Tilak Varma b Shokeen,13,11,23,1,0,118.18,22
Rinku Singh,c Wadhera b Jansen,18,18,32,2,0,100.00,22
Andre Russell,not out,21,11,18,3,1,190.90,22
Sunil Narine,not out,2,2,9,0,0,100.00,22
Wriddhiman Saha †,c & b Boult,4,3,4,1,0,133.33,23
Shubman Gill,c Buttler b Sandeep Sharma,45,34,70,4,1,132.35,23
Sai Sudharsan,run out (Buttler/†Samson),20,19,23,2,0,105.26,23
Hardik Pandya (c),c Jaiswal b Chahal,28,19,22,3,1,147.36,23
David Miller,c Hetmyer b Sandeep Sharma,46,30,43,3,2,153.33,23
Abhinav Manohar,c Padikkal b Zampa,27,13,17,0,3,207.69,23
Rahul Tewatia,not out,1,1,10,0,0,100.00,23
Rashid Khan,run out (Buttler/Sandeep Sharma),1,1,4,0,0,100.00,23
Alzarri Joseph,not out,0,0,2,0,0,0,23
Ruturaj Gaikwad,c Parnell b Mohammed Siraj,3,6,12,0,0,50.00,24
Devon Conway,b Patel,83,45,73,6,6,184.44,24
Ajinkya Rahane,b de Silva,37,20,33,3,2,185.00,24
Shivam Dube,c Mohammed Siraj b Parnell,52,27,35,2,5,192.59,24
Ambati Rayudu,c †Karthik b Vyshak,14,6,11,1,1,233.33,24
Moeen Ali,not out,19,9,24,0,2,211.11,24
Ravindra Jadeja,c Prabhudessai b Maxwell,10,8,17,0,1,125.00,24
MS Dhoni (c)†,not out,1,1,2,0,0,100.00,24
Rohit Sharma (c),c Markram b Natarajan,28,18,22,6,0,155.55,25
Ishan Kishan †,c Markram b Jansen,38,31,51,3,2,122.58,25
Cameron Green,not out,64,40,75,6,2,160.00,25
Suryakumar Yadav,c Markram b Jansen,7,3,6,0,1,233.33,25
Tilak Varma,c Agarwal b Kumar,37,17,24,2,4,217.64,25
Tim David,run out (Abhishek Sharma/Natarajan),16,11,19,2,0,145.45,25
KL Rahul (c),c Buttler b Holder,39,32,51,4,1,121.87,26
Kyle Mayers,b Ashwin,51,42,69,4,3,121.42,26
Ayush Badoni,b Boult,1,4,6,0,0,25.00,26
Deepak Hooda,c Hetmyer b Ashwin,2,4,7,0,0,50.00,26
Marcus Stoinis,c †Samson b Sandeep Sharma,21,16,31,2,0,131.25,26
Nicholas Pooran †,run out (†Samson),29,20,27,2,1,145.00,26
Krunal Pandya,not out,4,2,4,1,0,200.00,26
Yudhvir Singh,run out (Hetmyer/†Samson),1,1,2,0,0,100.00,26
Virat Kohli (c),c †Sharma b Harpreet Brar,59,47,72,5,1,125.53,27
Faf du Plessis,c Curran b Ellis,84,56,78,5,5,150.00,27
Glenn Maxwell,c Taide b Harpreet Brar,0,1,1,0,0,0.00,27
Dinesh Karthik †,c Taide b Arshdeep Singh,7,5,16,1,0,140.00,27
Mahipal Lomror,not out,7,9,15,1,0,77.77,27
Shahbaz Ahmed,not out,5,3,5,0,0,166.66,27
Jason Roy,c Aman Hakim Khan b Kuldeep Yadav,43,39,74,5,1,110.25,28
Litton Das †,c Lalit Yadav b Mukesh Kumar,4,4,13,1,0,100.00,28
Venkatesh Iyer,c Marsh b Nortje,0,2,9,0,0,0.00,28
Nitish Rana (c),c Mukesh Kumar b Sharma,4,7,11,1,0,57.14,28
Mandeep Singh,b Patel,12,11,16,0,1,109.09,28
Rinku Singh,c Lalit Yadav b Patel,6,8,9,1,0,75.00,28
Sunil Narine,c Warner b Sharma,4,6,6,1,0,66.66,28
Andre Russell,not out,38,31,49,1,4,122.58,28
Anukul Roy,lbw b Kuldeep Yadav,0,1,2,0,0,0.00,28
Umesh Yadav,c & b Nortje,3,5,5,0,0,60.00,28
Varun Chakravarthy,run out (sub [YV Dhull]/†Salt),1,6,28,0,0,16.66,28
Harry Brook,c Gaikwad b Akash Singh,18,13,23,3,0,138.46,29
Abhishek Sharma,c Rahane b Jadeja,34,26,43,3,1,130.76,29
Rahul Tripathi,c Akash Singh b Jadeja,21,21,31,1,1,100.00,29
Aiden Markram (c),c †Dhoni b Theekshana,12,12,15,1,0,100.00,29
Heinrich Klaasen †,c Gaikwad b Pathirana,17,16,27,1,0,106.25,29
Mayank Agarwal,st †Dhoni b Jadeja,2,4,6,0,0,50.00,29
Marco Jansen,not out,17,22,29,1,0,77.27,29
Washington Sundar,run out (†Dhoni),9,6,14,1,0,150.00,29
Wriddhiman Saha †,c Hooda b Pandya,47,37,51,6,0,127.02,30
Shubman Gill,c Ravi Bishnoi b Pandya,0,2,9,0,0,0.00,30
Hardik Pandya (c),c Rahul b Stoinis,66,50,89,2,4,132.00,30
Abhinav Manohar,c Naveen-ul-Haq b Mishra,3,5,7,0,0,60.00,30
Vijay Shankar,b Naveen-ul-Haq,10,12,17,1,0,83.33,30
David Miller,c Hooda b Stoinis,6,12,28,0,0,50.00,30
Rahul Tewatia,not out,2,2,4,0,0,100.00,30
Matthew Short,c Chawla b Green,11,10,15,2,0,110.00,31
Prabhsimran Singh,lbw b Tendulkar,26,17,37,1,2,152.94,31
Atharva Taide,b Chawla,29,17,38,3,1,170.58,31
Liam Livingstone,st †Ishan Kishan b Chawla,10,12,12,0,1,83.33,31
Harpreet Singh,b Green,41,28,47,4,2,146.42,31
Sam Curran (c),c & b Archer,55,29,51,5,4,189.65,31
Jitesh Sharma †,b Behrendorff,25,7,12,0,4,357.14,31
M Shahrukh Khan,not out,0,0,6,0,0,0,31
Harpreet Brar,run out (Tilak Varma/†Ishan Kishan),5,2,3,1,0,250.00,31
Virat Kohli (c),lbw b Boult,0,1,2,0,0,0.00,32
Faf du Plessis,run out (Jaiswal),62,39,71,8,2,158.97,32
Shahbaz Ahmed,c Jaiswal b Boult,2,4,10,0,0,50.00,32
Glenn Maxwell,c Holder b Ashwin,77,44,66,6,4,175.00,32
Mahipal Lomror,c Padikkal b Chahal,8,6,16,1,0,133.33,32
Dinesh Karthik †,c Buttler b Sandeep Sharma,16,13,28,2,0,123.07,32
Suyash Prabhudessai,run out (Jaiswal/†Samson),0,2,5,0,0,0.00,32
Wanindu Hasaranga,run out (†Samson/Sandeep Sharma),6,7,14,0,0,85.71,32
David Willey,not out,4,2,8,1,0,200.00,32
Vijaykumar Vyshak,c Hetmyer b Sandeep Sharma,0,1,2,0,0,0.00,32
Mohammed Siraj,not out,1,1,4,0,0,100.00,32
Ruturaj Gaikwad,b Suyash Sharma,35,20,35,2,3,175.00,33
Devon Conway,c Wiese b Varun,56,40,56,4,3,140.00,33
Ajinkya Rahane,not out,71,29,70,6,5,244.82,33
Shivam Dube,c Roy b Khejroliya,50,21,31,2,5,238.09,33
Ravindra Jadeja,c Singh b Khejroliya,18,8,13,0,2,225.00,33
MS Dhoni (c)†,not out,2,3,4,0,0,66.66,33
David Warner (c),c Brook b Washington Sundar,21,20,39,2,1,105.00,34
Phil Salt †,c †Klaasen b Kumar,0,1,4,0,0,0.00,34
Mitchell Marsh,lbw b Natarajan,25,15,22,5,0,166.66,34
Sarfaraz Khan,c Kumar b Washington Sundar,10,9,16,0,1,111.11,34
Manish Pandey,run out (Washington Sundar/†Klaasen),34,27,53,2,0,125.92,34
Aman Hakim Khan,c Abhishek Sharma b Washington Sundar,4,2,3,1,0,200.00,34
Axar Patel,b Kumar,34,34,43,4,0,100.00,34
Ripal Patel,run out (†Klaasen),5,6,13,0,0,83.33,34
Anrich Nortje,run out (Umran Malik/†Klaasen),2,2,7,0,0,100.00,34
Kuldeep Yadav,not out,4,3,5,1,0,133.33,34
Ishant Sharma,not out,1,1,2,0,0,100.00,34
Wriddhiman Saha †,c †Ishan Kishan b Tendulkar,4,7,13,0,0,57.14,35
Shubman Gill,c Yadav b Kartikeya,56,34,57,7,1,164.70,35
Hardik Pandya (c),c Yadav b Chawla,13,14,23,1,0,92.85,35
Vijay Shankar,c David b Chawla,19,16,27,1,1,118.75,35
David Miller,c Yadav b Behrendorff,46,22,47,2,4,209.09,35
Abhinav Manohar,c Behrendorff b Meredith,42,21,30,3,3,200.00,35
